key_resp.keys,key_resp.rt,key_resp.duration,participant,date,expName,psychopyVersion,OS,frameRate,Response.text,accept.keys,accept.corr,accept.rt,accept.duration,recall_loop.thisRepN,recall_loop.thisTrialN,recall_loop.thisN,recall_loop.thisIndex,recall_loop.ran,Word1,Emo_condition,Word2,Ima_condition
return,2.881,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,vanille,"[""return""]",0,[15.894000000000005],[null],0,0,0,0,1,Floh,None,Vanille,None
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Hochschule,"[""return""]",0,[5.870999999999995],[null],0,1,1,1,1,Brombeere,None,Hochschule,None
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Sommer,"[""return""]",0,[5.331000000000003],[null],0,2,2,2,1,Fähre,None,Sommer,None
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Duft,"[""return""]",0,[3.7240000000000038],[null],0,3,3,3,1,Unkraut,emo_mid,Duft,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Kunststück,"[""return""]",0,[6.028999999999996],[null],0,4,4,4,1,Antrieb,emo_mid,Kunststück,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Handel,"[""return""]",0,[3.771000000000001],[null],0,5,5,5,1,Inhalt,emo_mid,Handel,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Diebstahl,"[""return""]",0,[4.548000000000002],[null],0,6,6,6,1,Fahrstuhl,emo_mid,Diebstahl,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Verein,"[""return""]",0,[4.643000000000001],[null],0,7,7,7,1,Werkstatt,emo_mid,Verein,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Explosion,"[""return""]",0,[20.169999999999987],[null],0,8,8,8,1,Bündel,emo_mid,Zerstörung,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Aufgabe,"[""return""]",0,[3.5730000000000075],[null],0,9,9,9,1,Pfad,emo_mid,Aufgabe,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Chaos,"[""return""]",0,[5.217999999999989],[null],0,10,10,10,1,Armband,emo_mid,Chaos,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Armut,"[""return""]",0,[3.850999999999999],[null],0,11,11,11,1,Schale,emo_mid,Armut,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Gewalt,"[""return""]",0,[4.292000000000002],[null],0,12,12,12,1,Sprichwort,emo_mid,Gewalt,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Hunger,"[""return""]",0,[4.909999999999997],[null],0,13,13,13,1,Pedal,emo_mid,Gruß,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Zeit,"[""return""]",0,[7.335000000000008],[null],0,14,14,14,1,Priester,emo_mid,Zeit,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Akt,"[""return""]",0,[2.7700000000000102],[null],0,15,15,15,1,Ketchup,emo_mid,Akt,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Rettung,"[""return""]",0,[3.0859999999999843],[null],0,16,16,16,1,Fliege,emo_mid,Rettung,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Größe,"[""return""]",0,[4.527999999999992],[null],0,17,17,17,1,Flamme,emo_mid,Größe,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Portion,"[""return""]",0,[4.736000000000018],[null],0,18,18,18,1,Chirurg,emo_mid,Portion,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Partei,"[""return""]",0,[3.841000000000008],[null],0,19,19,19,1,Darm,emo_mid,Partei,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Kopfschmerz,"[""return""]",0,[6.570999999999998],[null],0,20,20,20,1,Linse,emo_mid,Kopfweh,ima_mid
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Vitrine,"[""return""]",0,[4.557999999999993],[null],0,21,21,21,1,Bahnhof,emo_mid,Vitrine,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Rennfahrer,"[""return""]",0,[9.186999999999983],[null],0,22,22,22,1,Quader,emo_mid,Rennwagen,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Lehm,"[""return""]",0,[4.193000000000012],[null],0,23,23,23,1,Eisfach,emo_mid,Lehm,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Ruder,"[""return""]",0,[9.120000000000005],[null],0,24,24,24,1,Branche,emo_mid,Ruder,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Skulptur,"[""return""]",0,[5.799999999999983],[null],0,25,25,25,1,Knie,emo_mid,Skulptur,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Kümmel,"[""return""]",0,[4.48599999999999],[null],0,26,26,26,1,Tor,emo_mid,Kümmel,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Geld,"[""return""]",0,[3.323999999999984],[null],0,27,27,27,1,Stempel,emo_mid,Geld,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Braten,"[""return""]",0,[2.9819999999999993],[null],0,28,28,28,1,Zigarre,emo_mid,Braten,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Stier,"[""return""]",0,[3.0679999999999836],[null],0,29,29,29,1,Bankier,emo_mid,Stier,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Zement,"[""return""]",0,[3.3700000000000045],[null],0,30,30,30,1,Henkel,emo_mid,Zement,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,BUch,"[""return""]",0,[3.4080000000000155],[null],0,31,31,31,1,Kloß,emo_mid,Buch,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Gesäß,"[""return""]",0,[8.117999999999995],[null],0,32,32,32,1,Hocker,emo_mid,Daune,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Sack,"[""return""]",0,[4.648000000000025],[null],0,33,33,33,1,Mitte,emo_mid,Kaktus,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Spatz,"[""return""]",0,[3.0270000000000437],[null],0,34,34,34,1,Protokoll,emo_mid,Spatz,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Fleck,"[""return""]",0,[3.5960000000000036],[null],0,35,35,35,1,Masche,emo_mid,Fleck,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Krone,"[""return""]",0,[3.3619999999999663],[null],0,36,36,36,1,Maurer,emo_mid,Krone,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Strohhut,"[""return""]",0,[4.165999999999997],[null],0,37,37,37,1,Gürtel,emo_mid,Strohhut,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Geist,"[""return""]",0,[4.140999999999963],[null],0,38,38,38,1,Kasper,emo_mid,Topflappen,ima_high
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Mai,"[""return""]",0,[2.1959999999999695],[null],0,39,39,39,1,Küken,None,Mai,None
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Ergänzung,"[""return""]",0,[6.075999999999965],[null],0,40,40,40,1,Sirene,None,Ergänzung,None
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,Offenheit,"[""return""]",0,[4.9150000000000205],[null],0,41,41,41,1,Eisdiele,None,Offenheit,None
,,,KA99GS0606,2024-06-06_06h20.00.037,SNORE_recall_online,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,
